file,avg_line_len,non_alnum_ratio,empty_line_ratio,risk_score
44---A-7-Year-Old-Girl-from-South-Sudan-With-_2022_Clinical-Cases-in-Tropica.txt,149.37,0.006,0.492,20
37---A-29-Year-Old-Woman-from-Malawi-With-Confusi_2022_Clinical-Cases-in-Tro.txt,229.6,0.004,0.486,20
43---A-35-Year-Old-Malawian-Woman-With-a-Pain_2022_Clinical-Cases-in-Tropica.txt,212.03,0.004,0.483,20
47---A-32-Year-Old-Man-from-Malawi-With-a-Pain_2022_Clinical-Cases-in-Tropic.txt,225.03,0.006,0.485,20
48---A-31-Year-Old-Woman-from-Tanzania-With-Acu_2022_Clinical-Cases-in-Tropi.txt,307.3,0.005,0.367,20
49---A-33-Year-Old-Male-Traveller-to-India-With-Di_2022_Clinical-Cases-in-Tr.txt,313.0,0.004,0.478,20
50---A-24-Year-Old-Man-of-Turkish-Origin-With-Jau_2022_Clinical-Cases-in-Tro.txt,224.57,0.006,0.0,0
51---A-34-Year-Old-HIV-Positive-Woman-from-Malawi-W_2022_Clinical-Cases-in-T.txt,160.46,0.006,0.492,20
52---A-56-Year-Old-Man-from-Peru-With-Prolonged-_2022_Clinical-Cases-in-Trop.txt,265.41,0.005,0.483,20
54---A-52-Year-Old-Male-Safari-Tourist-Returning-fro_2022_Clinical-Cases-in-.txt,156.71,0.005,0.488,20
55---A-40-Year-Old-Male-Farmer-from-Peru-With-Ch_2022_Clinical-Cases-in-Trop.txt,214.84,0.006,0.489,20
57---A-37-Year-Old-Woman-from-Malawi-With-H_2022_Clinical-Cases-in-Tropical-.txt,155.47,0.006,0.483,20
53---A-24-Year-Old-Woman-from-Uganda-With-Fe_2022_Clinical-Cases-in-Tropical.txt,168.14,0.003,0.486,20
58---A-25-Year-Old-Woman-from-Egypt-With-Severe-Ch_2022_Clinical-Cases-in-Tr.txt,332.31,0.009,0.438,20
61---A-48-Year-Old-Woman-from-Thailand-With-Fever-_2022_Clinical-Cases-in-Tr.txt,279.0,0.005,0.217,0
62---A-28-Year-Old-Man-from-Ghana-With-a-Chron_2022_Clinical-Cases-in-Tropic.txt,192.4,0.007,0.486,20
59---A-24-Year-Old-Man-from-Malawi-With-Skin-Le_2022_Clinical-Cases-in-Tropi.txt,200.97,0.004,0.483,20
63---A-38-Year-Old-European-Expatriate-Living-in-M_2022_Clinical-Cases-in-Tr.txt,172.96,0.002,0.48,20
64---A-40-Year-Old-Woman-from-Thailand-and-Her-Bro_2022_Clinical-Cases-in-Tr.txt,262.47,0.008,0.324,20
66---A-32-Year-Old-Man-from-Malawi-With-Pain-in-the-_2022_Clinical-Cases-in-.txt,385.06,0.004,0.471,20
67---A-24-Year-Old-Woman-from-the-Peruvian-Andes-_2022_Clinical-Cases-in-Tro.txt,154.1,0.004,0.48,20
70---A-58-Year-Old-Woman-from-Sri-Lanka-With-Fev_2022_Clinical-Cases-in-Trop.txt,194.03,0.004,0.475,20
65---A-4-Year-Old-Girl-from-Bolivia-With-a-Dar_2022_Clinical-Cases-in-Tropic.txt,166.43,0.004,0.478,20
73---A-21-Year-Old-Male-Migrant-from-Rural-Mali-_2022_Clinical-Cases-in-Trop.txt,156.86,0.006,0.492,20
68---A-31-Year-Old-Woman-from-Malawi-With-a-Gene_2022_Clinical-Cases-in-Trop.txt,159.1,0.005,0.49,20
69---A-22-Year-Old-Male-Farmer-from-Rural-Ethiop_2022_Clinical-Cases-in-Trop.txt,174.97,0.005,0.486,20
74---A-28-Year-Old-Woman-from-Sierra-Leone-With-_2022_Clinical-Cases-in-Trop.txt,162.14,0.003,0.488,20
76---A-55-Year-Old-Woman-from-Turkey-With-Feve_2022_Clinical-Cases-in-Tropic.txt,193.94,0.006,0.438,20
77---A-51-Year-Old-Female-Traveller-Returning-from-Cen_2022_Clinical-Cases-i.txt,246.52,0.004,0.419,20
71---A-71-Year-Old-Man-from-Japan-With-Eosinophili_2022_Clinical-Cases-in-Tr.txt,199.67,0.005,0.302,20
72---A-4-Year-Old-Boy-from-Mozambique-With-Sever_2022_Clinical-Cases-in-Trop.txt,142.0,0.004,0.333,20
75---A-25-Year-Old-Woman-from-Zambia-With-a-N_2022_Clinical-Cases-in-Tropica.txt,209.1,0.005,0.46,20
78---A-42-Year-Old-British-Man-Living-in-Malawi_2022_Clinical-Cases-in-Tropi.txt,331.87,0.004,0.478,20
81---A-33-Year-Old-Refugee-from-Afghanistan-With-_2022_Clinical-Cases-in-Tro.txt,184.26,0.007,0.487,20
82---A-31-Year-Old-Man-from-Guatemala-With-Acute-_2022_Clinical-Cases-in-Tro.txt,223.96,0.003,0.36,20
80---A-62-Year-Old-Man-from-Thailand-With-a_2022_Clinical-Cases-in-Tropical-.txt,138.62,0.008,0.475,20
79---A-34-Year-Old-Male-Immigrant-from-Peru-With-Ch_2022_Clinical-Cases-in-T.txt,258.9,0.006,0.483,20
83---An-18-Year-Old-Man-from-India-With-a-Pale-P_2022_Clinical-Cases-in-Trop.txt,189.89,0.004,0.481,20
84---A-64-Year-Old-Japanese-Man-With-Generalize_2022_Clinical-Cases-in-Tropi.txt,160.39,0.008,0.333,20
88---A-74-Year-Old-Man-from-Japan-With-Fever--_2022_Clinical-Cases-in-Tropic.txt,180.8,0.008,0.486,20
85---A-55-Year-Old-Female-Pig-Farmer-from-Vietnam-_2022_Clinical-Cases-in-Tr.txt,278.68,0.008,0.286,0
86---A-14-Year-Old-Girl-in-the-Solomon-Islands-W_2022_Clinical-Cases-in-Trop.txt,223.29,0.005,0.471,20
91---A-20-Year-Old-Male-from-India-With-Fever-_2022_Clinical-Cases-in-Tropic.txt,255.91,0.007,0.469,20
90---A-55-Year-Old-Couple-Both-Returning-from-Chile-a_2022_Clinical-Cases-in.txt,198.3,0.006,0.465,20
89---A-30-Year-Old-Woman-from-Bolivia-With-Ex_2022_Clinical-Cases-in-Tropica.txt,232.28,0.003,0.276,0
93---A-35-Year-Old-Male-Logger-from-Peru-With-Fe_2022_Clinical-Cases-in-Trop.txt,187.28,0.007,0.488,20
92---A-42-Year-Old-Traveller-Returning-from-Thaila_2022_Clinical-Cases-in-Tr.txt,180.51,0.007,0.486,20
94---A-20-Year-Old-Woman-from-the-Democratic-Republic-_2022_Clinical-Cases-i.txt,328.64,0.005,0.364,20
7---A-28-Year-Old-Male-Fisherman-from-Malawi-Wi_2022_Clinical-Cases-in-Tropi.txt,194.61,0.005,0.25,0
8---A-26-Year-Old-Female-Traveller-Returning-from_2022_Clinical-Cases-in-Tro.txt,172.5,0.003,0.286,0
60---A-6-Year-Old-Boy-from-Malawi-With-Proptos_2022_Clinical-Cases-in-Tropic.txt,166.61,0.003,0.348,20
56---A-21-Year-Old-Pregnant-Woman-from-The-Ga_2022_Clinical-Cases-in-Tropica.txt,196.68,0.005,0.455,20
87---A-27-Year-Old-Male-Traveller-Returning-from-the_2022_Clinical-Cases-in-.txt,312.42,0.006,0.485,20
